date,category,amount,currency,notes
2026-08-31,groceries,126,QAR,Karama - August (date approximate; confirm category if not groceries)
2026-09-01,family/remittance,8000,QAR,Sent to Pakistan account (PKR 608376 received)
2026-09-01,misc,3,QAR,Ooredoo Money transfer fee (card top-up)
2026-09-01,family/remittance,315000,PKR,Sent to father - usual monthly transfer
2026-08-20,transport,100,QAR,MFT*BadrGo - office commute (card)
2026-08-22,groceries,11.08,QAR,Panda Hypermarket (card)
2026-08-22,dining,12,QAR,Bikanervala Restaurant (card)
2026-08-22,dining,4,QAR,Pak Pakwan Restaurant (card)
2026-08-22,groceries,23,QAR,Panda Hypermarket (card)
2026-08-23,dining,8,QAR,Albayt Istanbul Restaurant (card)
2026-08-24,misc,15,QAR,New Jasmin Laundry (card)
2026-08-25,dining,51.75,QAR,Food Palace (card)
2026-08-25,dining,7,QAR,Corner Cafe Trio (card statement shows as Alfatooh Spare Parts) (card)
2026-08-26,dining,16,QAR,Albayt Istanbul Restaurant (card)
2026-08-26,transport,14.95,QAR,Uber - office commute (card)
2026-08-27,transport,5.95,QAR,Uber - office commute (card)
2026-08-27,dining,46,QAR,Khosh Kabab Restaurant (card)
2026-08-27,transport,13.09,QAR,Uber - office commute (card)
2026-08-27,dining,19.75,QAR,Black Rose Al Watan (card)
2026-08-28,transport,11.96,QAR,Uber - office commute (card)
2026-08-28,transport,11.96,QAR,Uber - office commute (card)
2026-08-28,health,30,QAR,Naseem Al Rabeeh Medical (card)
2026-08-28,health,300,QAR,Naseem Surgical and Medical (card)
2026-08-28,health,101,QAR,Naseem Al Rabeeh Medical (card)
2026-08-28,transport,12.94,QAR,Uber - office commute (card)
2026-08-28,dining,64,QAR,New Arabian Mandi Restaurant (card)
2026-08-29,groceries,6,QAR,Arabian Supermarket (card)
2026-08-30,transport,16.43,QAR,Uber - office commute (card)
2026-08-30,dining,50.46,QAR,Food Palace (card)
2026-08-30,transport,15.93,QAR,Uber - office commute (card)
2026-08-30,health,24,QAR,Crescent Pharmacy (card)
2026-08-31,dining,20,QAR,Albayt Istanbul Restaurant (card)
2026-08-31,transport,18.96,QAR,Uber - office commute (card)
2026-08-31,shopping,6,QAR,Retail Mart (card)
2026-09-01,utilities,129,QAR,Kahramaa - electricity/water (card)
2026-09-01,transport,1.16,QAR,Uber - office commute (card)
2026-09-01,transport,15.95,QAR,Uber - office commute (card)
2026-09-01,subscriptions,280,QAR,Vodafone - home internet (card)
2026-09-01,dining,12,QAR,Al Zarka Restaurant (card)
2026-09-01,groceries,1.5,QAR,Arabian Supermarket (card)
2026-08-19,transport,20,QAR,BadrGo - office commute (card)
2026-08-18,dining,23,QAR,Albayt Istanbul Rest (card)
2026-08-18,shopping,1592,QAR,Al Anees Electronics - recurring 1592 QAR/month charge, likely installment plan (card)
2026-08-17,dining,12,QAR,Corner Cafe Trio (card statement shows as Alfatooh Spare Parts) (card)
2026-08-16,dining,5,QAR,Corner Cafe Trio (card statement shows as Alfatooh Spare Parts) (card)
2026-08-16,transport,15.96,QAR,Uber - office commute (card)
2026-08-16,dining,37.5,QAR,Food Palace (card)
2026-08-15,groceries,27.23,QAR,Panda Hypermarket (card)
2026-08-15,dining,45,QAR,Punjab Restaurant-Mush (card)
2026-08-14,groceries,13,QAR,Arabian Supermarket (card)
2026-08-14,dining,10,QAR,Albayt Istanbul Rest (card)
2026-08-13,dining,6,QAR,Pak Pakwan Restaurant (card)
2026-08-13,transport,19.46,QAR,Uber - office commute (card)
2026-08-11,groceries,6,QAR,Arabian Supermarket (card)
2026-08-10,groceries,5,QAR,Panda Hypermarket (card)
2026-08-10,groceries,28.77,QAR,Panda Hypermarket (card)
2026-08-10,transport,5.94,QAR,Uber - office commute (card)
2026-08-10,dining,15,QAR,Uzman Restaurant (card)
2026-08-10,transport,5.95,QAR,Uber - office commute (card)
2026-08-10,dining,5,QAR,Punjab Restaurant-Mush (card)
2026-08-09,transport,100,QAR,BadrGo - office commute (card)
2026-08-09,dining,4,QAR,Punjab Restaurant-Mush (card)
2026-08-08,dining,4,QAR,Pak Pakwan Restaurant (card)
2026-08-08,transport,11.8,QAR,Uber - office commute (card)
2026-08-08,groceries,12,QAR,Arabian Supermarket (card)
2026-08-08,dining,39.31,QAR,Food Palace (card)
2026-08-07,dining,28,QAR,Metro Istanbul Restaur (card)
2026-08-07,groceries,55.1,QAR,Lulu Hypermarket (card)
2026-08-07,transport,11.93,QAR,Uber - office commute (card)
2026-08-07,transport,4.96,QAR,Uber - office commute (card)
2026-08-06,subscriptions,52.5,QAR,Ooredoo CC bill payment (card) - mobile package is 105 QAR/month, amount here differs, check
2026-08-06,dining,95,QAR,Kabab Sra Resturant (card)
2026-08-06,transport,8.36,QAR,Uber - office commute (card)
